City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Bom Jesus,BR,2021-11-23 05:01:13,-9.0744,-44.3586,76.69,68,99,0.98
92,Fonte Boa,BR,2021-11-23 05:06:12,-2.4959,-66.2662,72.97,99,100,1.45
93,Panama City,PA,2021-11-23 05:04:00,8.9936,-79.5197,79.05,90,75,2.3
94,Peniche,PT,2021-11-23 05:07:13,39.3558,-9.3811,53.56,67,36,16.53
95,East London,ZA,2021-11-23 05:07:13,-33.0153,27.9116,67.14,88,75,11.5
96,Bengkulu,ID,2021-11-23 05:04:25,-3.8004,102.2655,82.87,66,91,5.37
97,Karratha,AU,2021-11-23 05:07:13,-20.7377,116.8463,90.1,45,79,16.44
98,Noshiro,JP,2021-11-23 05:07:14,40.2039,140.0242,41.94,88,100,10.69
99,Yellowknife,CA,2021-11-23 05:06:35,62.456,-114.3525,-9.58,80,100,3.0
100,Chokurdakh,RU,2021-11-23 05:07:14,70.6333,147.9167,-11.96,99,100,5.64
101,Ossora,RU,2021-11-23 05:07:14,59.2353,163.0719,25.66,96,100,13.58
102,Kloulklubed,PW,2021-11-23 05:02:52,7.0419,134.2556,82.89,77,91,12.88
103,Freeport,US,2021-11-23 05:06:39,40.6576,-73.5832,38.01,53,1,3.0
104,Bethel,US,2021-11-23 05:07:15,41.3712,-73.414,36.55,63,1,5.75
105,Angoche,MZ,2021-11-23 05:07:15,-16.2325,39.9086,82.76,65,37,7.43
106,Norman Wells,CA,2021-11-23 05:07:15,65.282,-126.8329,-12.23,97,100,6.44
107,San Policarpo,PH,2021-11-23 05:07:16,12.1791,125.5072,84.76,68,32,9.6
108,Araouane,ML,2021-11-23 05:07:16,18.9048,-3.5265,74.98,31,99,7.43
109,Fomboni,KM,2021-11-23 05:07:16,-12.28,43.7425,80.92,74,30,16.51
110,Colares,PT,2021-11-23 05:07:17,38.7992,-9.4469,54.9,67,22,8.01
111,Pevek,RU,2021-11-23 05:07:17,69.7008,170.3133,-18.17,95,17,1.83
112,Aljezur,PT,2021-11-23 05:07:17,37.3191,-8.8033,54.18,71,36,10.65
113,Ancud,CL,2021-11-23 05:07:18,-41.8697,-73.8203,47.43,93,48,3.91
114,Cidreira,BR,2021-11-23 05:07:18,-30.1811,-50.2056,68.43,73,7,7.05
115,Longyan,CN,2021-11-23 05:04:59,25.1072,117.0225,60.17,64,96,3.18
116,Marsa Matruh,EG,2021-11-23 05:07:18,31.3525,27.2453,62.92,54,10,6.62
117,Ponta Do Sol,PT,2021-11-23 05:07:19,32.6667,-17.1,67.71,70,94,6.42
118,Sao Miguel Do Araguaia,BR,2021-11-23 05:07:19,-13.275,-50.1628,73.54,93,98,1.57
119,Yulara,AU,2021-11-23 05:07:19,-25.2406,130.9889,81.88,45,63,7.25
120,Fare,PF,2021-11-23 05:07:19,-16.7,-151.0167,80.73,76,100,11.39
121,Chokwe,MZ,2021-11-23 05:07:20,-24.5333,32.9833,72.82,86,100,6.89
122,Cayenne,GF,2021-11-23 05:07:20,4.9333,-52.3333,81.09,86,20,1.99
123,Port Alfred,ZA,2021-11-23 05:07:20,-33.5906,26.891,64.53,81,99,22.5
124,Gorom-Gorom,BF,2021-11-23 05:07:21,14.4439,-0.2361,75.0,15,1,10.27
125,Ilave,PE,2021-11-23 05:07:21,-16.0833,-69.6667,48.0,73,100,2.8
126,Sehithwa,BW,2021-11-23 05:07:21,-20.4667,22.7167,74.5,55,100,4.25
127,Gorin,RU,2021-11-23 05:07:21,51.1983,136.6669,32.67,91,100,19.01
128,Carnarvon,AU,2021-11-23 05:07:22,-24.8667,113.6333,78.75,45,0,19.89
129,Coquimbo,CL,2021-11-23 05:03:16,-29.9533,-71.3436,58.73,82,90,5.75
130,Goundi,TD,2021-11-23 05:07:22,9.3627,17.366,70.81,31,25,4.59
131,Chamonix-Mont-Blanc,FR,2021-11-23 05:07:22,45.9238,6.8693,42.89,97,75,4.29
